id,solute_name,solute_identifier,solute_category,solute_type,solute_reactions,solute_reaction_typical_solvents,references,full_solute_smiles,stripped_solute_smiles,compatible_smiles_pmi_synth,cleaned_solute_smiles_tox,stripped_aromatic_solute_smiles,full_aromatic_solute_smiles,full_original_solute_smiles,usd_per_g,usd_per_mol
46,Ru(phen)3[PF6]2,60804-75-3,metal_catalyst,Photoredox catalyst,visible light mediated free radical reactions,"toluene, dimethylformamide, dimethylacetamide, dimethyl sulfoxide, tetrahydrofuran, alcohols",N/A,n1([Ru+2]23(n4c5c(n3ccc6)c6ccc5ccc4)7n8cccc9ccc%10cccn2c%10c89)cccc%11ccc%12cccn7c%12c1%11.[P-](F)(F)(F)(F)(F)(F).[P-](F)(F)(F)(F)(F)(F),n1([Ru+2]23(n4c5c(n3ccc6)c6ccc5ccc4)7n8cccc9ccc%10cccn2c%10c89)cccc%11ccc%12cccn7c%12c1%11,n1([Ru+2]23(n4c5c(n3ccc6)c6ccc5ccc4)7n8cccc9ccc%10cccn2c%10c89)cccc%11ccc%12cccn7c%12c1%11,n1([Ru+2]23(n4c5c(n3ccc6)c6ccc5ccc4)7n8cccc9ccc%10cccn2c%10c89)cccc%11ccc%12cccn7c%12c1%11,n1([Ru+2]23(n4c5c(n3ccc6)c6ccc5ccc4)7n8cccc9ccc%10cccn2c%10c89)cccc%11ccc%12cccn7c%12c1%11,n1([Ru+2]23(n4c5c(n3ccc6)c6ccc5ccc4)7n8cccc9ccc%10cccn2c%10c89)cccc%11ccc%12cccn7c%12c1%11.[P-](F)(F)(F)(F)(F)(F).[P-](F)(F)(F)(F)(F)(F),[N]1([Ru+2]234([N]5=C6C(C=CC7=C6[N]4=CC=C7)=CC=C5)[N]8=CC=CC9=C8C%10=[N]2C=CC=C%10C=C9)=C(C([N]3=CC=C%11)=C%11C=C%12)C%12=CC=C1.[P-](F)(F)(F)(F)(F)(F).[P-](F)(F)(F)(F)(F)(F),,
47,Ru(phen)3Cl2,23570-43-6,metal_catalyst,Photoredox catalyst,visible light mediated free radical reactions,"toluene, dimethylformamide, dimethylacetamide, dimethyl sulfoxide, tetrahydrofuran, alcohols",N/A,n1([Ru+2]23(n4c5c(n3ccc6)c6ccc5ccc4)7n8cccc9ccc%10cccn2c%10c89)cccc%11ccc%12cccn7c%12c1%11.[Cl-].[Cl-],n1([Ru+2]23(n4c5c(n3ccc6)c6ccc5ccc4)7n8cccc9ccc%10cccn2c%10c89)cccc%11ccc%12cccn7c%12c1%11,n1([Ru+2]23(n4c5c(n3ccc6)c6ccc5ccc4)7n8cccc9ccc%10cccn2c%10c89)cccc%11ccc%12cccn7c%12c1%11,n1([Ru+2]23(n4c5c(n3ccc6)c6ccc5ccc4)7n8cccc9ccc%10cccn2c%10c89)cccc%11ccc%12cccn7c%12c1%11,n1([Ru+2]23(n4c5c(n3ccc6)c6ccc5ccc4)7n8cccc9ccc%10cccn2c%10c89)cccc%11ccc%12cccn7c%12c1%11,n1([Ru+2]23(n4c5c(n3ccc6)c6ccc5ccc4)7n8cccc9ccc%10cccn2c%10c89)cccc%11ccc%12cccn7c%12c1%11.[Cl-].[Cl-],[N]1([Ru+2]234([N]5=C6C(C=CC7=C6[N]4=CC=C7)=CC=C5)[N]8=CC=CC9=C8C%10=[N]2C=CC=C%10C=C9)=C(C([N]3=CC=C%11)=C%11C=C%12)C%12=CC=C1.[Cl-].[Cl-],1022.352941,728518.4824
48,TBADT ,68109-03-5,metal_catalyst,"Photocatalyst, Polyoxometalate","C-H activation, dehydrogenation, hydrogen atom transfer reactions","acetonitrile, water, alcohols",N/A,CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.[O-][W](=O)(=O)[O-].[O-][W](=O)(=O)[O-],CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.[O-][W](=O)(=O)[O-].[O-][W](=O)(=O)[O-],CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.[O-][W](=O)(=O)[O-].[O-][W](=O)(=O)[O-],CCCC[N+](CCCC)(CCCC)CCCC,CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.[O-][W](=O)(=O)[O-].[O-][W](=O)(=O)[O-],CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.[O-][W](=O)(=O)[O-].[O-][W](=O)(=O)[O-],CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.[O-][W](=O)(=O)[O-].[O-][W](=O)(=O)[O-],889.4117647,2953060.518
49,4CzIPN,1416881-52-1,organocatalyst,Photoredox catalyst,visible light mediated free radical reactions,"toluene, dimethylformamide, dimethylacetamide, dimethyl sulfoxide, tetrahydrofurane, alcohols",N/A,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,N#CC1=[C@]([N@]2C3=CC=CC=C3C4=CC=CC=C42)[C@@]([N@@]5C6=CC=CC=C6C7=CC=CC=C75)=[C@]([N@]8C9=CC=CC=C9C%10=CC=CC=C%108)C(C#N)=[C@]1[N@]%11C(C=CC=C%12)=C%12C%13=C%11C=CC=C%13,7576.470588,5977001.882
50,(DHQ)2PHAL,140924-50-1,organocatalyst,"Organocatalyst, Cinchona alkaloid","asymmetric catalysis, asymmetric dihydroxylation, asymmetric aminohydroxylation","dichloromethane, dimethylformamide, tetrahydrofuran, tert-butanol, water",N/A,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,CC[C@@H]1CN2CCC1CC2[C@@H](C3=CC=NC4=C3C=C(OC)C=C4)OC5=NN=C(C6=C5C=CC=C6)O[C@H](C7=CC=NC8=C7C=C(OC)C=C8)C9CC%10CCN9C[C@@H]%10CC,227.2941176,177057.5718
51,Rose bengal,632-69-9,organocatalyst,Photoredox catalyst,visible light mediated free radical reactions,"toluene, dimethylformamide, dimethylacetamide, dimethyl sulfoxide, tetrahydrofurane, alcohols",N/A,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,IC1=C2OC3C(I)C(C(I)=CC3=C(C4=C(C(O[Na])=O)C(Cl)=C(Cl)C(Cl)=C4Cl)C2=CC(I)=C1O[Na])=O,141.1764706,143666.8235
52,(S)-BINOL,18531-99-2,organocatalyst,Organocatalyst,asymmetric catalysis,"dichloromethane, dimethylformamide, tetrahydrofurane",N/A,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,OC1=[C@](C2=CC=CC=C2C=C1)[C@]3=C4C=CC=CC4=CC=C3O,35.24705882,10091.93788
53,9-Mesityl-10-methylacridinium,1442433-71-7,organocatalyst,Photoredox catalyst,visible light mediated free radical reactions,"toluene, dimethylformamide, dimethylacetamide, dimethyl sulfoxide, tetrahydrofurane, alcohols",N/A,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4.O=Cl(=O)([O-])=O,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4.O=Cl(=O)([O-])=O,C[N+]1=C(C=CC=C2)C2=C(C3=C(C)C=C(C)C=C3C)C4=CC=CC=C41.O=Cl(=O)([O-])=O,369.8823529,147668.1318
54,18-Crown 6-ether,17455-13-9,organocatalyst,"Phase-transfer catalyst, Macrocycle","nucleophilic substitution, elimination, phase-transfer catalysis","water, alcohols, dimethylformamide, dimethylsulfoxide, ethers",N/A,C1OCCOCCOCCOCCOCCOC1,C1OCCOCCOCCOCCOCCOC1,C1OCCOCCOCCOCCOCCOC1,C1OCCOCCOCCOCCOCCOC1,C1OCCOCCOCCOCCOCCOC1,C1OCCOCCOCCOCCOCCOC1,C1OCCOCCOCCOCCOCCOC1,11.85882353,3134.524235
55,Dibenzo-18-crown 6-ether,14187-32-7,organocatalyst,"Phase-transfer catalyst, Macrocycle","nucleophilic substitution, elimination, phase-transfer catalysis","water, alcohols, dimethylformamide, dimethylsulfoxide, ethers",N/A,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,C1(C=CC=C2)=C2OCCOCCOC(C=CC=C3)=C3OCCOCCO1,9.256470588,3336.032
56,Fluorescein,2321-07-5,organocatalyst,Photoredox catalyst,visible light mediated free radical reactions,"dichloromethane, dimethylformamide, tetrahydrofurane",N/A,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,OC1=CC2=C(C=C1)C3(C(C=CC=C4)=C4C(O3)=O)C5=C(C=C(O)C=C5)O2,168.94,56140.84
57,Tris(pentafluorophenyl)borane,1109-15-5,organocatalyst,Lewis acid,"aldol-type reactions, rearrangements","dichloromethane, toluene, hydrosilylation, alkylation",N/A,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,FC(C(F)=C(F)C(F)=C1F)=C1B(C2=C(F)C(F)=C(F)C(F)=C2F)C3=C(F)C(F)=C(F)C(F)=C3F,243.5294118,124682.1882
58,Phthalocyanine,574-93-6,organocatalyst,"Organic dye, Macrocycle","photosensitizer, electrocatalysis",N/A,N/A,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,C1(/C2=N/3)=C(C=CC=C1)/C(N2)=N/C4=N/C(C5=C4C=CC=C5)=N\C(N6)=C7C=CC=CC7=C6/N=C8C9=C(C=CC=C9)C3=N/8,43.64705882,22458.15765
59,Co-phthalocyanine,3317-67-7,metal_catalyst,"Organic dye, Macrocycle","photosensitizer, electrocatalysis, oxidation",N/A,N/A,c1(/C2=N/C3=N/C(c4ccccc43)=N\5)ccccc1/C(N2)=N/C6=N/C(c7ccccc76)=N\C8=c(cccc9)c9=C5N8,c1(/C2=N/C3=N/C(c4ccccc43)=N\5)ccccc1/C(N2)=N/C6=N/C(c7ccccc76)=N\C8=c(cccc9)c9=C5N8,c1(/C2=N/C3=N/C(c4ccccc43)=N\5)ccccc1/C(N2)=N/C6=N/C(c7ccccc76)=N\C8=c(cccc9)c9=C5N8,c1(/C2=N/C3=N/C(c4ccccc43)=N\5)ccccc1/C(N2)=N/C6=N/C(c7ccccc76)=N\C8=c(cccc9)c9=C5N8,c1(/C2=N/C3=N/C(c4ccccc43)=N\5)ccccc1/C(N2)=N/C6=N/C(c7ccccc76)=N\C8=c(cccc9)c9=C5N8,c1(/C2=N/C3=N/C(c4ccccc43)=N\5)ccccc1/C(N2)=N/C6=N/C(c7ccccc76)=N\C8=c(cccc9)c9=C5N8,C12=C(C=CC=C2)C3=NC4=[N]5C(C6=C4C=CC=C6)=NC(N78)=C9C=CC=CC9=C7N=C%10C%11=C(C=CC=C%11)C%12=[N]%10[Co]58N3C1=N%12,59.76470588,34153.13882
60,Cu-phthalocyanine,147-14-8,metal_catalyst,"Organic dye, Macrocycle","photosensitizer, electrocatalysis, oxidation",N/A,N/A,c1(c(cccc1)c2n3[Cu]45[N](C(c6ccccc67)=N8)=C7N=2)c3=NC9=[N]4C(c%10ccccc%109)=Nc%11n5c8c%12c%11cccc%12,c1(c(cccc1)c2n3[Cu]45[N](C(c6ccccc67)=N8)=C7N=2)c3=NC9=[N]4C(c%10ccccc%109)=Nc%11n5c8c%12c%11cccc%12,c1(c2cccc1)c3=NC4=N/C(c5c4cccc5)=N\c6c7ccccc7c8n6[Cu]n3c2=NC9=N/C(c%10c9cccc%10)=N\8,c1(c(cccc1)c2n3[Cu]45[N](C(c6ccccc67)=N8)=C7N=2)c3=NC9=[N]4C(c%10ccccc%109)=Nc%11n5c8c%12c%11cccc%12,c1(c(cccc1)c2n3[Cu]45[N](C(c6ccccc67)=N8)=C7N=2)c3=NC9=[N]4C(c%10ccccc%109)=Nc%11n5c8c%12c%11cccc%12,c1(c(cccc1)c2n3[Cu]45[N](C(c6ccccc67)=N8)=C7N=2)c3=NC9=[N]4C(c%10ccccc%109)=Nc%11n5c8c%12c%11cccc%12,C12=C(C=CC=C2)C3=NC4=[N]5C(C6=C4C=CC=C6)=NC(N78)=C9C=CC=CC9=C7N=C%10C%11=C(C=CC=C%11)C%12=[N]%10[Cu]58N3C1=N%12,348.8235294,200946.7706
61,APHOS,932710-63-9,ligand,Phosphine ligand,cross coupling,"toluene, dichloromethane, acetonitrile, tetrahydrofuran",N/A,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,CN(C)C1=CC=C(P(C(C)(C)C)C(C)(C)C)C=C1,73.52941176,19512.5
62,JohnPHOS,224311-51-7,ligand,Phosphine ligand,cross coupling,"toluene, dichloromethane, acetonitrile, tetrahydrofuran",N/A,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,CC(C)(C)P(C(C)(C)C)C(C=CC=C1)=C1C2=CC=CC=C2,71.88235294,21449.69412
63,CyJohnPHOS,247940-06-3,ligand,Phosphine ligand,cross coupling,"toluene, dichloromethane, acetonitrile, tetrahydrofuran",N/A,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,C1(C2=CC=CC=C2)=C(P(C3CCCCC3)C4CCCCC4)C=CC=C1,52.58823529,18431.12471
64,DavePHOS,213697-53-1,ligand,Phosphine ligand,cross coupling,"toluene, dichloromethane, acetonitrile, tetrahydrofuran",N/A,CN(c1c(c2ccccc2P(C3CCCCC3)C4CCCCC4)cccc1)C,CN(c1c(c2ccccc2P(C3CCCCC3)C4CCCCC4)cccc1)C,CN(c1c(c2ccccc2P(C3CCCCC3)C4CCCCC4)cccc1)C,CN(c1c(c2ccccc2P(C3CCCCC3)C4CCCCC4)cccc1)C,CN(c1c(c2ccccc2P(C3CCCCC3)C4CCCCC4)cccc1)C,CN(c1c(c2ccccc2P(C3CCCCC3)C4CCCCC4)cccc1)C,CN(C)C(C=CC=C1)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,55.52941176,21853.04471
65,XPHOS,564483-18-7,ligand,Phosphine ligand,cross coupling,"toluene, dichloromethane, acetonitrile, tetrahydrofuran",N/A,CC(c1c(c2ccccc2P(C3CCCCC3)C4CCCCC4)c(C(C)C)cc(C(C)C)c1)C,CC(c1c(c2ccccc2P(C3CCCCC3)C4CCCCC4)c(C(C)C)cc(C(C)C)c1)C,CC(c1c(c2ccccc2P(C3CCCCC3)C4CCCCC4)c(C(C)C)cc(C(C)C)c1)C,CC(c1c(c2ccccc2P(C3CCCCC3)C4CCCCC4)c(C(C)C)cc(C(C)C)c1)C,CC(c1c(c2ccccc2P(C3CCCCC3)C4CCCCC4)c(C(C)C)cc(C(C)C)c1)C,CC(c1c(c2ccccc2P(C3CCCCC3)C4CCCCC4)c(C(C)C)cc(C(C)C)c1)C,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,82.35294118,39259.29412
66,tBuBrettPHOS,1160861-53-9,ligand,Phosphine ligand,cross coupling,"toluene, dichloromethane, acetonitrile, tetrahydrofuran",N/A,CC(C)c1c(c2c(OC)ccc(OC)c2P(C(C)(C)C)C(C)(C)C)c(C(C)C)cc(C(C)C)c1,CC(C)c1c(c2c(OC)ccc(OC)c2P(C(C)(C)C)C(C)(C)C)c(C(C)C)cc(C(C)C)c1,CC(C)c1c(c2c(OC)ccc(OC)c2P(C(C)(C)C)C(C)(C)C)c(C(C)C)cc(C(C)C)c1,CC(C)c1c(c2c(OC)ccc(OC)c2P(C(C)(C)C)C(C)(C)C)c(C(C)C)cc(C(C)C)c1,CC(C)c1c(c2c(OC)ccc(OC)c2P(C(C)(C)C)C(C)(C)C)c(C(C)C)cc(C(C)C)c1,CC(C)c1c(c2c(OC)ccc(OC)c2P(C(C)(C)C)C(C)(C)C)c(C(C)C)cc(C(C)C)c1,CC(C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(C(OC)=CC=C2OC)P(C(C)(C)C)C(C)(C)C)C,1800,872442
67,"1,1,3,3-tetramethylguanidine",80-70-6,organocatalyst,"Organocatalyst, Organic base","racemization, cleavage, conjugate addition reactions",N/A,N/A,N=C(N(C)C)N(C)C,N=C(N(C)C)N(C)C,N=C(N(C)C)N(C)C,N=C(N(C)C)N(C)C,N=C(N(C)C)N(C)C,N=C(N(C)C)N(C)C,N=C(N(C)C)N(C)C,0.329360502,37.93574266
68,tert-butyl (S)-2-(hydroxymethyl)pyrrolidine-1-carboxylate,69610-40-8,organocatalyst,Organocatalyst,asymmetric reactions,N/A,N/A,OC[C@H]1N(C(OC(C)(C)C)=O)CCC1,OC[C@H]1N(C(OC(C)(C)C)=O)CCC1,OC[C@H]1N(C(OC(C)(C)C)=O)CCC1,OC[C@H]1N(C(OC(C)(C)C)=O)CCC1,OC[C@H]1N(C(OC(C)(C)C)=O)CCC1,OC[C@H]1N(C(OC(C)(C)C)=O)CCC1,OC[C@H]1N(C(OC(C)(C)C)=O)CCC1,15.17647059,3054.416471
69,tetrabutylammonium bromide,1643-19-2,organocatalyst,Phase-transfer catalyst,phase-transfer catalysis,N/A,N/A,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CCCC[N+](CCCC)(CCCC)CCCC,CCCC[N+](CCCC)(CCCC)CCCC,CCCC[N+](CCCC)(CCCC)CCCC,CCCC[N+](CCCC)(CCCC)CCCC,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],3.632941176,1171.151247
70,"(S)-3-(benzylamino)-4-((pyrrolidin-2-ylmethyl)amino)cyclobut-3-ene-1,2-dithione",KJ2,organocatalyst,Organocatalyst,"asymmetric Michael addition, asymmetric Friedel-Crafts reactions, multicomponent coupling","dichloromethane, dimethylformamide, tetrahydrofuran",N/A,S=c1c(NC[C@H]2NCCC2)c(NCc3ccccc3)c1=S,S=c1c(NC[C@H]2NCCC2)c(NCc3ccccc3)c1=S,S=c1c(NC[C@H]2NCCC2)c(NCc3ccccc3)c1=S,S=c1c(NC[C@H]2NCCC2)c(NCc3ccccc3)c1=S,S=c1c(NC[C@H]2NCCC2)c(NCc3ccccc3)c1=S,S=c1c(NC[C@H]2NCCC2)c(NCc3ccccc3)c1=S,S=C(C1=S)C(NC[C@H]2NCCC2)=C1NCC3=CC=CC=C3,,
71,"tert-butyl (S)-2-(((2-(benzylamino)-3,4-dioxocyclobut-1-en-1-yl)amino)methyl)pyrrolidine-1-carboxylate",KJ6,organocatalyst,Organocatalyst,"asymmetric Michael addition, asymmetric Friedel-Crafts reactions, multicomponent coupling","dichloromethane, dimethylformamide, tetrahydrofuran",N/A,O=c(c(NCc1ccccc1)c2NC[C@H]3N(CCC3)C(OC(C)(C)C)=O)c2=O,O=c(c(NCc1ccccc1)c2NC[C@H]3N(CCC3)C(OC(C)(C)C)=O)c2=O,O=c(c(NCc1ccccc1)c2NC[C@H]3N(CCC3)C(OC(C)(C)C)=O)c2=O,O=c(c(NCc1ccccc1)c2NC[C@H]3N(CCC3)C(OC(C)(C)C)=O)c2=O,O=c(c(NCc1ccccc1)c2NC[C@H]3N(CCC3)C(OC(C)(C)C)=O)c2=O,O=c(c(NCc1ccccc1)c2NC[C@H]3N(CCC3)C(OC(C)(C)C)=O)c2=O,O=C1C(NCC2=CC=CC=C2)=C(NC[C@H]3N(C(OC(C)(C)C)=O)CCC3)C1=O,,
